"county"|"Adams"|"Burke"|"Clinton"|"DeLaFuente"|"Elbot"|"French"|"Greenstein"|"Hewes"|"Hutton"|"Judd"|"Kelso"|"Lipscomb"|"Locke"|"Lovitt"|"McGaughey"|"Moroz"|"ODonnell"|"OMalley"|"Sanders"|"Schwass"|"Sloan"|"Sonnino"|"Steinberg"|"Supreme"|"Thistle"|"Valentine"|"Weil"|"Wolfe"
"belknap"|4|4|3495|5|1|1|0|0|0|2|4|0|2|2|0|1|2|35|6005|6|2|0|0|10|12|2|0|3
"carroll"|2|3|3230|4|2|2|2|0|0|1|1|0|1|2|2|0|5|20|5638|4|1|0|0|11|6|0|0|0
"cheshire"|3|7|5034|8|4|2|1|1|0|4|2|2|1|1|1|0|1|41|12214|5|2|1|2|14|6|1|1|6
"coos"|1|6|2013|4|0|0|1|0|0|1|0|1|0|1|1|0|1|20|3639|4|1|2|0|1|10|0|0|0
"grafton"|4|9|6918|4|1|3|1|1|0|2|2|2|1|1|0|2|0|41|14295|5|0|0|1|9|14|0|0|5
"hillsborough"|13|35|28147|36|12|6|7|10|5|13|12|2|5|4|4|24|11|202|39245|32|4|6|11|82|91|13|4|17
"merrimack"|4|7|12250|6|3|5|6|2|1|6|3|2|8|3|2|0|3|78|18107|21|1|4|4|39|24|1|3|4
"rockingham"|17|20|22829|19|12|7|3|4|3|9|14|4|9|4|8|0|2|123|31065|41|2|3|0|54|40|3|0|12
"strafford"|3|9|8813|7|1|2|6|0|4|4|3|0|3|2|1|0|1|72|15881|20|0|1|2|31|15|2|0|6
"sullivan"|2|7|2497|2|0|1|1|0|1|2|4|1|2|1|0|0|0|27|5915|4|1|0|1|14|5|2|0|1
