"county"|"Bush"|"Carson"|"Christie"|"Comley"|"Cook"|"Cruz"|"Cullison"|"Drozd"|"Dyas"|"Fiorina"|"Gilmore"|"Graham"|"Huckabee"|"Huey"|"Iwachiw"|"Jindal"|"Kasich"|"Lynch"|"Mann"|"Martin"|"McCarthy"|"Messina"|"Pataki"|"Paul"|"Prag"|"Robinson"|"Rubio"|"Santorum"|"Trump"|"Witz"
"belknap"|1741|390|1002|2|6|2020|2|0|1|674|5|4|9|0|0|0|2464|7|0|12|0|0|5|80|0|3|1435|12|5510|7
"carroll"|1240|280|883|3|2|1357|3|0|1|441|4|4|8|1|0|2|2279|0|0|8|0|0|1|61|0|0|1430|9|4170|9
"cheshire"|1500|493|754|1|4|1888|1|0|4|565|5|5|7|1|1|5|2177|2|0|42|0|0|5|115|1|2|1237|9|4533|6
"coos"|562|174|355|2|0|571|0|0|0|275|3|5|7|0|0|1|943|0|0|8|3|1|3|39|0|1|614|6|2184|3
"grafton"|1864|470|1053|0|5|1726|2|1|1|684|10|4|23|105|2|2|3371|5|1|19|0|0|10|143|1|5|1923|9|4897|9
"hillsborough"|9584|1729|7155|9|16|9606|16|2|4|3616|44|16|49|2|1|11|12517|18|2|46|4|2|12|635|4|10|8824|45|29328|20
"merrimack"|3814|753|2376|6|9|3781|3|1|2|1511|21|11|31|0|1|10|6178|3|0|14|2|1|14|196|4|6|3062|11|10959|8
"rockingham"|7748|1447|5783|6|9|7991|20|1|0|2829|21|16|43|1|4|13|10370|6|2|33|1|0|15|417|2|11|8074|43|28718|31
"strafford"|2444|528|1233|3|4|3323|6|0|2|884|12|5|32|2|0|9|3195|3|0|11|1|1|13|193|4|5|2504|21|7357|14
"sullivan"|844|239|488|0|0|951|3|1|0|295|9|3|7|0|0|0|1384|3|0|9|1|0|2|52|0|1|888|5|2983|2
